-95, -43, 1009
-85, -57, 1015
-85, -57, 1002
-77, -38, 1002
-85, -6, 1014
-85, 8, 1009
-87, -10, 1014
-89, -30, 1005
-80, -38, 1012
-80, -38, 1012
-93, -13, 1012
-106, 2, 1013
-112, 17, 1005
-117, 9, 1009
-111, -46, 1011
-107, -34, 1007
-115, -26, 1012
-107, -10, 1007
-107, -10, 1007
-114, -27, 1013
-,-,-
-5, -15, 995
-5, -15, 995
-6, -17, 1010
-5, -16, 1010
-5, -16, 1009
-5, -17, 1010
-5, -17, 1010
-4, -16, 1010
-3, -17, 1011
10, -17, 998
64, -27, 1021
91, -42, 1010
91, -42, 1010
142, -42, 1010
181, -23, 1009
186, -3, 1008
214, -5, 1010
241, 22, 1016
241, 22, 1016
269, 42, 1004
249, -7, 1002
227, -16, 1022
211, -14, 1000
204, -5, 1010
204, -5, 1010
153, -5, 1007
71, 33, 1017
35, 46, 1018
15, -5, 996
15, -5, 996
-8, -33, 1015
-25, -46, 1002
-31, -23, 1020
-29, -11, 1016
-29, -11, 1016
-30, -17, 1007
-64, -14, 1015
-77, -31, 995
-67, -55, 1013
-71, -65, 1010
-99, -66, 1013
-101, -55, 1011
-101, -55, 1011
-98, -21, 1013
-101, -46, 1013
-86, -51, 1006
-88, -21, 1005
-87, -4, 1014
-93, 6, 1008
-89, -12, 1013
-89, -12, 1013
-86, -8, 1004
-83, -5, 1017
-82, -7, 1010
-96, 8, 1011
-96, 8, 1007
-104, -4, 1007
-109, -19, 1010
-108, -26, 1014
-109, -43, 1014
-107, -42, 1008
-,-,-
-10, -5, 984
-10, -5, 984
0, -11, 1010
15, -9, 1009
63, -32, 1011
63, -32, 1011
74, -43, 1010
136, -33, 1010
164, -9, 1012
183, 3, 1000
183, 3, 1000
180, 0, 1023
201, 22, 1012
205, 39, 1010
211, 35, 1001
211, 35, 1001
198, 18, 1015
190, 23, 1009
176, -7, 997
170, 17, 1020
146, 21, 1016
146, 21, 1016
127, -6, 1012
114, -1, 1011
90, -13, 1011
59, -27, 1001
59, -27, 1001
23, -56, 1016
-14, -49, 1016
-48, 31, 1013
-86, -25, 1010
-101, -76, 1013
-131, -111, 1010
-133, -84, 1014
-156, -34, 1019
-156, -34, 1019
-166, -32, 1006
-168, -35, 1011
-159, -70, 1016
-121, -68, 996
-126, -56, 1021
-124, -33, 1006
-117, -36, 1017
-89, -41, 1006
-67, -23, 1016
-56, 1, 1009
-56, 1, 1009
-54, -4, 1010
-32, -6, 1007
-25, 20, 1013
-25, 14, 1008
-25, 14, 1008
-31, -5, 1016
-44, -17, 1013
-53, -21, 1007
-,-,-
-11, -38, 979
2, -38, 1027
-7, -25, 1042
-7, -25, 1042
-6, -37, 1037
-2, -38, 1011
-3, -23, 997
-2, -30, 1021
-2, -30, 1021
8, -52, 990
15, -56, 962
43, -62, 971
43, -62, 971
65, -55, 1002
85, -39, 1026
113, -52, 1044
119, -16, 1039
163, -33, 1039
213, -16, 1066
213, -16, 1066
269, -36, 1097
293, -36, 1004
245, -13, 924
214, -10, 955
198, -34, 1035
178, -82, 1036
178, -82, 1036
112, -56, 966
33, -10, 958
0, 20, 1022
4, -17, 1052
4, -17, 1052
-3, -9, 1039
-27, -19, 1053
-33, 24, 1013
-26, 14, 998
-26, 14, 998
-14, -48, 1032
-38, -27, 980
-64, -28, 974
-62, -50, 998
-62, -50, 998
-56, -43, 982
-69, -48, 1013
-79, -29, 1005
-79, -29, 956
-70, -61, 1004
-64, -60, 1038
-64, -60, 1038
-75, -14, 988
-88, 12, 948
-78, -6, 959
-78, 1, 991
-78, 1, 991
-87, 17, 1040
-95, 50, 1040
-96, 46, 988
-96, 46, 988
-97, 13, 951
-112, -6, 932
-132, -38, 959
-145, -71, 1024
-,-,-
48, -41, 1076
51, -33, 1039
117, 0, 970
116, 15, 944
116, 15, 944
155, 20, 1122
219, 5, 1219
222, 35, 1221
222, 35, 1221
214, -8, 1098
233, -11, 999
252, -51, 928
256, -52, 856
211, -6, 884
211, -6, 884
159, 35, 924
124, 35, 920
97, 25, 958
97, 25, 958
52, 46, 999
-2, 74, 1061
-56, -33, 1124
-56, -33, 1124
-105, 16, 992
-115, -12, 932
-115, -29, 1026
-140, -22, 1018
-150, -58, 986
-166, -80, 970
-156, -77, 975
-156, -77, 975
-153, -66, 1017
-150, -38, 1062
-135, -24, 1061
-120, 1, 1043
-109, 55, 1057
-105, 68, 1046
-102, 60, 1062
-93, 59, 1024
-93, 59, 1024
-88, 60, 981
-87, 98, 993
-83, 78, 1030
-87, 80, 1043
-87, 80, 1043
